source_id,source_name,source_type,source_category,source_url,collection_method,first_seen,last_checked,reliability_score,status,description
SRC_000001,Forum Node 0001,forum,recruitment,https://synthetic-forum.local/recruitment/0001/page/0001,simulated_crawler,2026-08-19T00:00:00Z,2026-09-01T00:00:00Z,0.77,active,"Synthetic forum record in category 'recruitment', page 1 of base entity 0001. Non-operational demo record."
SRC_000002,Forum Node 0001,forum,recruitment,https://synthetic-forum.local/recruitment/0001/page/0002,simulated_crawler,2026-08-18T12:27:08Z,2026-09-01T00:00:00Z,0.76,active,"Synthetic forum record in category 'recruitment', page 2 of base entity 0001. Non-operational demo record."
SRC_000003,Forum Node 0001,forum,recruitment,https://synthetic-forum.local/recruitment/0001/page/0003,simulated_crawler,2026-01-24T12:27:08Z,2026-09-01T00:00:00Z,0.67,active,"Synthetic forum record in category 'recruitment', page 3 of base entity 0001. Non-operational demo record."
SRC_000004,Forum Node 0001,forum,recruitment,https://synthetic-forum.local/recruitment/0001/page/0004,simulated_crawler,2026-01-31T12:27:08Z,2026-06-09T12:27:08Z,0.65,archived,"Synthetic forum record in category 'recruitment', page 4 of base entity 0001. Non-operational demo record."
SRC_000005,Forum Node 0001,forum,recruitment,https://synthetic-forum.local/recruitment/0001/page/0005,simulated_crawler,2026-03-08T12:27:08Z,2026-09-01T00:00:00Z,0.78,active,"Synthetic forum record in category 'recruitment', page 5 of base entity 0001. Non-operational demo record."
SRC_000006,Forum Node 0001,forum,recruitment,https://synthetic-forum.local/recruitment/0001/page/0006,simulated_crawler,2026-08-30T00:00:00Z,2026-09-01T00:00:00Z,0.75,active,"Synthetic forum record in category 'recruitment', page 6 of base entity 0001. Non-operational demo record."
SRC_000007,Forum Node 0001,forum,recruitment,https://synthetic-forum.local/recruitment/0001/page/0007,simulated_crawler,2026-01-11T12:27:08Z,2026-09-01T00:00:00Z,0.69,active,"Synthetic forum record in category 'recruitment', page 7 of base entity 0001. Non-operational demo record."
SRC_000008,Forum Node 0001,forum,recruitment,https://synthetic-forum.local/recruitment/0001/page/0008,simulated_crawler,2026-08-08T00:00:00Z,2026-09-01T00:00:00Z,0.74,active,"Synthetic forum record in category 'recruitment', page 8 of base entity 0001. Non-operational demo record."
SRC_000009,Forum Node 0001,forum,recruitment,https://synthetic-forum.local/recruitment/0001/page/0009,simulated_crawler,2026-07-14T12:27:08Z,2026-09-01T00:00:00Z,0.67,inactive,"Synthetic forum record in category 'recruitment', page 9 of base entity 0001. Non-operational demo record."
SRC_000010,Forum Node 0001,forum,recruitment,https://synthetic-forum.local/recruitment/0001/page/0010,simulated_crawler,2026-08-17T00:00:00Z,2026-09-01T00:00:00Z,0.79,active,"Synthetic forum record in category 'recruitment', page 10 of base entity 0001. Non-operational demo record."
